ProdMaterialCode,MaterialCode,MaterialName,Unit,Workshop
TA0170,10000000005,SODIUM CHLORIDE,KG,PRESSING
TA0171,1201200001,SODIUM TETRABORATE,KG,ANODIZE
TA0172,1405100013,SOMIX AP7   (1405100013),G,FPSB
TA0173,Spay Daifee GA-7500 (Molding),SPAY DAIFEE GA-7500 (MOLDING),PC,FPSB
TA0174,1205101007,SPOOL TYPE (25UCN)  METEK,KG,STAMPING
TA0175,1205101006,SPOOL TYPE (25UCN)  NRK,KG,STAMPING
TA0176,1401901003,STICKER 7X5.3CM REMOVE,PC,PSLB
TA0177,1401400015,SYRING PS 5N,PC,PSLB
TA0178,1208101046,TA S-10 HV  (DG),G,PRESSING
TA0179,1208101047,TA S-10HV (RG),KG,PRESSING
TA0180,1208101044,TA S-15 HV  ( DH ),G,PRESSING
TA0181,1208101013,TA S-15MB  ( DK ),G,PRESSING
TA0182,1208101043,TA S-25MB  ( DR ),G,PRESSING
TA0183,1208101045,TA S-708  (DC),G,PRESSING
TA0184,1208101050,TA S-808,G,PRESSING
TA0185,1208101023,TA STA-150KA  ( GK ),G,PRESSING
TA0186,1208101040,TA STA-200KA  ( GP ),G,PRESSING
TA0187,1208101042,TA STA-255KA  ( GR )            ,G,PRESSING
TA0188,1208101036,TA TTS-100KM  ( TJ ),G,PRESSING
TA0189,1208101039,TA TTS-150KM  ( TK ),G,PRESSING
TA0190,1208101016,TA TTS-23KM  (TM ),G,PRESSING
TA0191,1208101035,TA TTS-40KMH  ( TT ),G,PRESSING
TA0192,1208101009,TA TTS-50KMD  ( TD ),G,PRESSING
TA0193,1208101018,TA TTS-80KM  (TZ ),G,PRESSING
TA0194,1208102003,TA-WIRE    0.19 ,G,PRESSING
TA0195,1208102015,TA-WIRE    0.22,G,PRESSING
TA0196,1208102020,TA-WIRE    0.22S,G,PRESSING
TA0197,1208102005,TA-WIRE    0.29,G,PRESSING
TA0198,1208102018,TA-WIRE    0.34D,G,PRESSING
TA0199,1208102017,TA-WIRE    0.40,G,PRESSING
TA0200,1208102016,TA-WIRE    0.47,G,PRESSING
TA0201,KDW0074D,TA-WIRE   0.19KD,LB,PRESSING
TA0202,YDW0074D,TA-WIRE   0.19YD,G,PRESSING
TA0203,YDW133DR,TA-WIRE   0.34(RECYCLE),G,PRESSING
TA0204,1401400027,TEFLON TAPE 0.085X13(1H),PC,PSLB
TA0205,1401400025,TEFLON TAPE 0.13X4(2H),PC,PSLB
TA0206,1401400026,TEFLON TAPE 0.23X4(2H)ANDAGING,PC,PSLB
TA0207,1000000004,THINNER AAA GRADE,LITER,STAMPING
TA0208,1000000001,TOLUENE,LITER,PRESSING
TA0209,1401621001,UV TAPE UHP-1525M3E-29C-03,PC,GPS
